Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Date Range,Mean Travel Time (Seconds),Range - Lower Bound Travel Time (Seconds),Range - Upper Bound Travel Time (Seconds)
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",91,"Intermediate Ring Road, Ejipura, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",578,228,1464
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",92,"100 Lower Agaram Road, Rose Garden, Vannarpet Layout, Viveka Nagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",488,302,787
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",93,"Rose Garden 7th A Cross, Rose Garden, Richard Xavier's colony, Neelasandra, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",558,354,879
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",94,"0 Hosur Road, Langford Town, Shanti Nagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",329,126,855
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",95,"0 4th Main Road, Lingayana Palya, Jogupalya, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",590,357,974
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",96,"0 DK Lane, Anchepet, Chickpet, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",603,360,1008
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",97,"200 12th Main Road, Keshava Nagar, Binnipete, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1328,883,1996
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",98,"0 5th A Cross Road, Mariyappanapalya, Binnipete, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1368,936,1997
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",99,"U/65/1, Malleshwaram West, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1230,835,1811
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",100,"24, RK Puram, Gandhi Nagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",788,497,1248
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",101,"Bangalore City Junction Railway, M.G. Railway Colony, Sevashrama, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1051,682,1618
